Origin Country,Origin Country Latitude,Origin Country Longitude,Destination Region,Destination Country,Dest. Country Latitude,Dest. Country Longitude,Year,No. of Emigrants
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,1981,24
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,1982,23
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,1983,20
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,1984,15
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,1985,13
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,1986,10
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,1987,11
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,1988,13
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,1989,16
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,1990,19
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,1991,23
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,1992,31
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,1993,25
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,1994,18
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,1995,19
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,1996,20
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,1997,24
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,1998,17
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,1999,13
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2000,18
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2001,21
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2002,24
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2003,35
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2004,29
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2005,23
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2006,30
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2007,47
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2008,71
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2009,66
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2010,60
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2011,7
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2012,2
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2013,7
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2014,36
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2015,211
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2016,259
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2017,461
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2018,213
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2019,118
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2020,4
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2021,4
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2022,14
Pakistan,30.375321,69.345116,Africa,Algeria,28.033886,1.659626,2023,10
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,1981,17
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,1982,15
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,1983,13
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,1984,10
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,1985,9
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,1986,7
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,1987,7
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,1988,9
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,1989,11
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,1990,13
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,1991,16
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,1992,21
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,1993,17
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,1994,12
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,1995,13
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,1996,13
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,1997,17
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,1998,11
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,1999,9
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2000,12
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2001,14
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2002,17
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2003,24
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2004,20
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2005,16
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2006,21
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2007,32
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2008,48
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2009,45
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2010,41
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2011,8
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2012,6
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2013,8
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2014,1
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2015,22
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2016,22
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2017,12
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2018,11
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2019,29
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2020,25
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2021,20
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2022,30
Pakistan,30.375321,69.345116,Africa,Angola,-11.202692,17.873887,2023,14
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,1981,1
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,1982,1
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,1983,1
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,1984,1
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,1985,1
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,1986,1
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,1987,1
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,1988,1
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,1989,1
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,1990,1
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,1991,1
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,1992,2
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,1993,1
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,1994,1
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,1995,1
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,1996,1
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,1997,1
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,1998,1
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,1999,1
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2000,1
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2001,1
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2002,1
